WKT,nazwa,opis
POINT (19.9139996 50.0656149),Punkt 1,67.2
POINT (19.9139567 50.0655038),Punkt 2,56.2
POINT (19.9139166 50.0654074),Punkt 3,52.8
POINT (19.9138793 50.0653039),Punkt 4,58.7
POINT (19.9138444 50.0651937),Punkt 8,57.9
POINT (19.9138037 50.0650964),Punkt 9,52.2
POINT (19.9137637 50.064997),Punkt 10,52.1
POINT (19.913725 50.0648898),Punkt 11,51.9
POINT (19.9138015 50.0647383),Punkt 12,53.6
POINT (19.9138938 50.0636139),Punkt 26,46.4
POINT (19.9140645 50.06358),Punkt 27,50.6
POINT (19.9142522 50.0636463),Punkt 28,46.1
POINT (19.914448 50.0636945),Punkt 29,46.8
POINT (19.9145258 50.0636205),Punkt 30,47.6
POINT (19.9145513 50.0635155),Punkt 31,46.8
POINT (19.9145795 50.0634156),Punkt 32,46.6
POINT (19.9145339 50.0633269),Punkt 33,46.4
POINT (19.9144746 50.063241),Punkt 34,45.6
POINT (19.9144467 50.0631621),Punkt 35,50.9
POINT (19.9144939 50.0630887),Punkt 36,47.8
POINT (19.9147106 50.0630474),Punkt 37,52.7
POINT (19.9149949 50.0630044),Punkt 38,46.6
POINT (19.9152685 50.0629459),Punkt 39,45.8
POINT (19.9155555 50.0628925),Punkt 40,47.7
POINT (19.9157406 50.0628555),Punkt 41,46
POINT (19.9159753 50.0628227),Punkt 42,46
POINT (19.9161759 50.0627944),Punkt 43,47.7
POINT (19.9164842 50.0627627),Punkt 44,46
POINT (19.9169058 50.0627169),Punkt 45,48.3
POINT (19.9171542 50.0624944),Punkt 46,45.9
POINT (19.9175243 50.0624135),Punkt 47,45.7
POINT (19.9178757 50.0625582),Punkt 48,46.1
POINT (19.9179803 50.062782),Punkt 49,46.3
POINT (19.9177952 50.0630093),Punkt 50,47.7
POINT (19.9170847 50.0629759),Punkt 91,47.1
POINT (19.917637 50.0628733),Punkt 51,46.8
POINT (19.9177014 50.062782),Punkt 52,46.2
POINT (19.9176531 50.0626632),Punkt 53,45.2
POINT (19.9175055 50.0625978),Punkt 54,46.8
POINT (19.9173393 50.0626529),Punkt 55,44.9
POINT (19.9172293 50.0627493),Punkt 56,46.3
POINT (19.9172856 50.0628681),Punkt 57,49.9
POINT (19.9174439 50.0629593),Punkt 58,50.6
POINT (19.9174009 50.0631453),Punkt 59,50.8
POINT (19.9173688 50.0632865),Punkt 60,50.6
POINT (19.917468 50.0634156),Punkt 61,48.1
POINT (19.9176218 50.0635072),Punkt 62,49.2
POINT (19.9177921 50.0636088),Punkt 63,50.7
POINT (19.9179624 50.0636923),Punkt 64,52.8
POINT (19.9181335 50.0637707),Punkt 65,52.3
POINT (19.9182596 50.0638706),Punkt 66,51.5
POINT (19.9183508 50.063998),Punkt 67,54.7
POINT (19.9183954 50.0640919),Punkt 68,53.8
POINT (19.918445 50.0642029),Punkt 69,53.9
POINT (19.9184772 50.0642873),Punkt 70,55.4
POINT (19.918508 50.0643863),Punkt 71,60.5
POINT (19.9185592 50.0644857),Punkt 72,68.4
POINT (19.9185701 50.0645741),Punkt 73,69.4
POINT (19.9183086 50.0646172),Punkt 74,67.3
POINT (19.9180391 50.0646774),Punkt 76,69.3
POINT (19.917778 50.0647336),Punkt 78,69.6
POINT (19.9175382 50.0648041),Punkt 80,68.7
POINT (19.9172793 50.0648702),Punkt 83,71
POINT (19.9169822 50.0649416),Punkt 82,68.4
POINT (19.9166503 50.0650122),Punkt 81,69.1
POINT (19.9163798 50.0650841),Punkt 85,72.4
POINT (19.916087 50.0651534),Punkt 84,72.1
POINT (19.915816 50.0652139),Punkt 79,67.2
POINT (19.9154449 50.0653027),Punkt 77,68.6
POINT (19.9151369 50.0653717),Punkt 75,64.2
POINT (19.9149346 50.0654192),Punkt 86,65.4
POINT (19.9147039 50.0654691),Punkt 87,70.5
POINT (19.9144907 50.0655156),Punkt 88,70.8
POINT (19.9143351 50.0655466),Punkt 89,64.7
POINT (19.9141941 50.0655829),Punkt 90,67.1
