Mass;Event;hErr;lErr
0.701839504;24.9029884;29.77531222;19.48929527
0.725480818;27.33915031;33.29421276;21.65477252
0.749122131;26.52709634;34.10626673;20.5720339
0.770944882;35.73037467;42.76817574;28.6925736
0.794586195;44.66296833;52.24213872;36.54242864
0.818227509;44.93365299;52.78350803;37.08379795
0.841868822;68.21253345;77.95718109;58.73857047
0.863691573;65.23500223;74.97964987;55.49035459
0.889151449;94.19826048;105.5670161;82.82950491
0.909155637;130.7406891;144.0042373;117.7478256
0.932796951;154.5609389;168.636541;139.9439674
0.956438264;222.232103;239.2852364;204.908285
0.978261015;283.9482047;303.4375;264.4589095
1.001902329;258.2331624;276.9104037;239.5559211
1.025543642;195.1636374;211.6754014;178.922558
1.049184956;173.5088649;188.396521;158.0798394
1.071007706;151.5834077;166.2003791;136.9664362
1.09464902;131.5527431;145.0869759;118.0185103
1.118290333;131.2820584;144.8162913;118.0185103
1.141931647;142.9214987;156.9971008;129.3872658
1.163754398;132.0941124;145.6283452;118.8305642
1.187395711;159.4332627;174.0502342;145.3576606
1.211037025;159.7039474;174.8622881;145.0869759
1.232859776;149.1472458;163.7642172;134.2595897
1.256501089;149.1472458;164.3055865;133.988905
1.280142402;135.3423283;150.500669;120.4546722
1.301965153;162.4107939;179.1932426;145.6283452
